Readcode,Disease,Medcode,ReadcodeDescr,Category,CodingSystem,Provenance
14F7.00,Peripheral arterial disease,106762,H/O: arterial lower limb ulcer,history of PVD during a consultation,NA,Kuan
14NB.00,Peripheral arterial disease,59534,H/O: Peripheral vascular disease procedure,history of PVD during a consultation,NA,Kuan
2G63.00,Peripheral arterial disease,9561,Ischaemic toe,Peripheral vascular disease (7),NA,Kuan
662U.00,Peripheral arterial disease,18499,Peripheral vascular disease monitoring,NA,readcode,Cambridge
7A10000,Peripheral arterial disease,95573,Emerg aortic bypass by anastomosis axillary to femoral art,Other PAD procedures (3),NA,Kuan
7A10100,Peripheral arterial disease,23352,Bypass aorta by anastomosis axillary to femoral artery NEC,Other PAD procedures (3),NA,Kuan
7A10200,Peripheral arterial disease,34153,Axillo-bifemoral bypass graft,Other PAD procedures (3),NA,Kuan
7A10300,Peripheral arterial disease,40302,Axillo-unifemoral PTFE bypass graft,Other PAD procedures (3),NA,Kuan
7A12.00,Peripheral arterial disease,36952,Other bypass of bifurcation of aorta,Other PAD procedures (3),NA,Kuan
7A12000,Peripheral arterial disease,48755,Emerg bypass bifurc aorta by anast aorta to femoral artery,Other PAD procedures (3),NA,Kuan
7A12100,Peripheral arterial disease,2761,Bypass bifurc aorta by anastom aorta to femoral artery NEC,Other PAD procedures (3),NA,Kuan
7A12111,Peripheral arterial disease,14895,Aorto bifemoral graft,Other PAD procedures (3),NA,Kuan
7A12112,Peripheral arterial disease,28166,Dacron aortofemoral Y graft,Other PAD procedures (3),NA,Kuan
7A12300,Peripheral arterial disease,15532,Bypass bifurcation aorta by anastom aorta to iliac artery,Other PAD procedures (3),NA,Kuan
7A12311,Peripheral arterial disease,3778,Aorto biiliac graft,Other PAD procedures (3),NA,Kuan
7A12312,Peripheral arterial disease,42465,Dacron aortoiliac Y graft,Other PAD procedures (3),NA,Kuan
7A12y00,Peripheral arterial disease,55825,Other specified other bypass of bifurcation of aorta,Other PAD procedures (3),NA,Kuan
