MedCode,ReadCode,ReadTerm
93038,PF5E100,Constriction ring with lymphoedema
36422,G8...00,"Vein, lymphatic and circulatory diseases NOS"
58984,7A68300,Transilluminated powered phlebectomy of varicose vein of leg
62533,7H66500,Excision of lymphoedematous tissue NEC
25337,G86y100,Chylous ascites
45279,PH01.00,Hereditary trophoedema
4484,G861000,Primary (congenital) lymphoedema
6314,G8yy000,Chronic venous insufficiency NOS
63781,L410z00,Varicose veins of legs in pregnancy and puerperium NOS
73658,G861200,Infantile lymphoedema (praecox)
33331,G861z00,Other lymphoedema NOS
58811,Z6G7D00,Lymphoedema massage
23512,G8yy400,Pelvic phleboliths
65150,7H66y11,Kondoleon correction for lymphoedema
69286,7A6L.00,Combined operations on varicose vein of leg
98963,7H66311,Gibson excision of lymphoedematous tissue of leg
35367,7H66312,Homan correction for lymphoedema
69600,7H66313,Tough excision of lymphoedematous tissue of leg
627,7A69200,Stripping of varicose vein of leg NEC
38557,7A67300,Ligation of perforating varicose vein of leg
3072,G834.00,Varicose veins of leg without mention of complications
28898,7A69700,Endovascular laser ablation of varicose vein of leg
53340,7H66400,Excision of lymphoedematous tissue of scrotum
89157,G834100,Varicose veins of leg with short saphenous vein distribution
9816,G86y.00,Other noninfective lymphatic disorder
28906,J57yK00,Intestinal lymphangiectasis
53786,Gyu8700,[X]Other specified disorders of veins
85498,7A6Mz00,Transluminal operations on varicose vein of leg NOS
25397,G85y.00,Other specified varicose veins
29677,7A68z00,Injection into varicose vein of leg NOS
3654,7A67.00,Ligation of varicose vein of leg
63117,7A68200,Ultrasound guided foam sclerotherapy for varicose vein leg
913,7A68000,Injection of sclerosing substance into varicose vein of leg
106395,G86yA00,Infected lymphocele
58115,Gyu8.00,"[X]Diseases of veins, lymphatic vessels & lymph nodes, NEC"
31425,G861100,Acquired (chronic) lymphoedema
5827,14A9.00,H/O: varicose veins
113404,G861400,Lymphoedema following breast cancer
11967,8HT7.00,Referral to varicose vein clinic
4942,G770.00,Hereditary haemorrhagic telangiectasia
96479,7A6Ly00,Other specified combined operations on varicose vein of leg
28286,7A67200,Ligation of recurrent varicose vein of leg
60543,7H66300,Excision of lymphoedematous tissue of leg NEC
26023,L411300,VV's of perineum/vulva in pregnancy/puerperium + a/n comp
17053,9N0V.00,Seen in varicose vein clinic
93973,Gyu8600,[X]Varicose veins of other specified sites
108204,9NoB.00,Seen in lymphoedema clinic
18216,G833.00,Varicose veins of the leg with rupture
5983,G831.00,Varicose veins of the leg with eczema
87004,7A6M300,Perc transluminal laser ablation of varicose vein of leg NEC
90928,7A6M.00,Transluminal operations on varicose vein of leg
742,G83..00,Varicose veins of the legs
3214,G83z.00,Varicose veins of the leg NOS
51067,PH03.00,Congenital elephantiasis
44347,P8y4.00,Congenital pulmonary lymphangiectasis
71082,G86yz00,Other noninfective lymphatic disorders NOS
4308,7A68.00,Injection into varicose vein of leg
42091,L411z00,Varicose veins of perineum/vulva in pregnancy/puerperium NOS
34658,G861211,Lymphoedema praecox
64938,G86y400,Lymph vessel fistula
1773,7A69z00,Other operation on varicose vein of leg NOS
40459,G86..00,Noninfective lymphatic disorders
12576,2482,O/E - varicose veins
71943,L411000,VV's of perineum/vulva in pregnancy/puerperium unspecified
44195,G86y200,Chylous cyst
99154,L410000,Varicose veins of legs in pregnancy/puerperium unspecified
36162,G8yy100,Venous collateral circulation NOS
111155,G861500,NA
61690,7H66.11,Excision of lymphoedema tissue
29620,L41..11,Varicose veins - obstetric
32019,G85z.00,Other varicose veins NOS
92895,G86y600,Lymph vessel infarction
27326,PH00.00,Congenital lymphoedema
47310,ZL22900,Under care of lymphoedema care nurse
60539,7H66111,Charles correction for lymphoedema of arm
44755,M211500,Lymphoedematous keratoderma
51423,ZLD7700,Discharge by lymphoedema care nurse
53685,L410500,Varicose veins of legs in pregnancy
25759,L411.00,VV's of perineum/vulva in pregnancy/puerperium
50095,G86y500,Lymph node infarction
111662,Gyu8900,[X]Oth spcfd noninfectv disordrs/lymphatc vessls+lymph nodes
41654,G862000,Chronic lymphangitis
89018,7A6Lz00,Combined operations on varicose vein of leg NOS
113617,38Q3.00,LYMQOL (Lymphoedema Quality of Life Tool) - leg
40816,PH02.11,Meige's disease
63617,7A69600,Endovascular radiofrequency ablation of varicose vein of leg
43874,7A66111,Cockett subfascial ligation of perforating varicose vein
52097,7A66112,Subfascial ligation of varicose veins
110213,9NoB000,Seen in community lymphoedema clinic
4096,G8X..00,"Disorder of vein, unspecified"
16079,G832.00,Varicose veins of the leg with ulcer and eczema
1913,G830.00,Varicose veins of the leg with ulcer
13695,ZL62900,Referral to lymphoedema care nurse
9376,ZLA2900,Seen by lymphoedema care nurse
4215,G86..11,Lymphoedema
905,7A69.00,Other operations on varicose vein of leg
63112,7A68y00,Other specified injection into varicose vein of leg
47197,L410400,Varicose veins of legs in pregnancy/puerperium + p/n comp
11264,G837.00,Venous ulcer of leg
57506,7A69211,Mayo stripping of varicose vein
65366,7H66100,Excision of lymphoedematous tissue of arm
102515,M1y2.00,Gravitational eczema
27379,G860.00,Postmastectomy lymphoedema
3718,G862.00,Lymphangitis
68210,7H66211,Thompson correction for lymphoedema
113736,TJC8z00,Adverse reaction to antivaricose drugs NOS
25923,7A67y00,Other specified ligation of varicose vein of leg
8273,G8y2211,SVCO - Superior vena cava obstruction
11720,M2y0500,Lipodermatosclerosis
23401,G861.11,Elephantiasis-non filarial-NOS
114240,PF6D100,Constriction ring of lower limb with lymphoedema
48752,G862100,Subacute lymphangitis
41645,G8y2z00,Compression of vein NOS
59312,G8y2000,Stricture of vein
25717,D418.00,Calcified lymph nodes
12704,G835.00,Infected varicose ulcer
106002,G8y5.00,Internal jugular vein stenosis
5197,G8y1.00,Postphlebitic syndrome
94913,7A6My00,Other specified transluminal operations on varicose vein leg
57657,G8yy300,Venofibrosis
30070,G861300,Lymphoedema tarda
21453,PH02.00,Milroy's disease
66059,G86y800,Lymph vessel rupture
44313,G86y300,Lymph node fistula
26347,G8y3.00,Chronic peripheral venous hypertension
105188,G8X0.00,Thread veins
24519,7A69311,Babcock subcutaneous enucleation of varicose veins
49638,G8yy200,Phlebosclerosis
101029,8BAh.00,Lymphoedema care
1217,G831.11,Varicose eczema
99209,G860.11,Elephantiasis-postmastectomy
101004,8HkZ.00,Referral to community lymphoedema service
49328,7A69500,Incision of varicose vein of leg
73791,Gyu8A00,"[X]Disorder of vein, unspecified"
25120,G8y2100,Inferior vena cava syndrome
46273,G861.00,Other lymphoedema
17431,G836.00,Varicose vein of leg with phlebitis
101420,G86y900,Lymphocele
99043,L410600,Varicose veins of legs in the puerperium
85663,G834000,Varicose veins of leg with long saphenous vein distribution
63573,G86y000,Chylocele - nonfilarial
38711,Z111200,Lymphoedema bandaging
21772,G8y2.00,Compression of vein
104392,G8y4.00,Postthrombotic syndrome
105400,G8y6.00,Subclavian vein stenosis
114071,L410300,Varicose veins of legs in pregnancy/puerperium + a/n comp
29476,G85..00,Other varicose veins
106076,7A67311,Linton ligation of perforating varicose vein of leg
8156,G8yy500,Phlebolith
2377,8L2..00,Varicose vein operation planned
6461,7A69300,Avulsion of varicose vein of leg
2148,7A69400,Local excision of varicose vein of leg
41788,7A69y00,Other specified other operation on varicose vein of leg
35157,G770.11,Rendu - Osler - Weber disease
57595,G86z.00,Noninfective lymphatic disorder NOS
1205,7A67z00,Ligation of varicose vein of leg NOS
16046,L410.00,Varicose veins of legs in pregnancy and the puerperium
19327,L411.11,Perineal obstetric varicose veins
20496,L411.12,Vulval obstetric varicose veins
8412,G8y2200,Superior vena cava syndrome
