Readcode;Disease;Medcode;ReadcodeDescr;Category;CodingSystem;Provenance
13L4.11;Diabetes;16946;Diabetic child;NA;readcode;Cambridge
1434.00;Diabetes;6813;H/O: diabetes mellitus;NA;readcode;Cambridge
66A3.00;Diabetes;7563;Diabetic on diet only;NA;readcode;Cambridge
66A4.00;Diabetes;1684;Diabetic on oral treatment;NA;readcode;Cambridge
66A5.00;Diabetes;8842;Diabetic on insulin;NA;readcode;Cambridge
66AI.00;Diabetes;13071;Diabetic - good control;NA;readcode;Cambridge
66AJ.00;Diabetes;2378;Diabetic - poor control;NA;readcode;Cambridge
66AJ.11;Diabetes;9013;Unstable diabetes;NA;readcode;Cambridge
66AJ100;Diabetes;2478;Brittle diabetes;NA;readcode;Cambridge
66AJz00;Diabetes;22023;Diabetic - poor control NOS;NA;readcode;Cambridge
66AK.00;Diabetes;43951;Diabetic - cooperative patient;NA;readcode;Cambridge
66AL.00;Diabetes;17869;Diabetic-uncooperative patient;NA;readcode;Cambridge
66As.00;Diabetes;101728;Diabetic on subcutaneous treatment;NA;readcode;Cambridge
66AV.00;Diabetes;28769;Diabetic on insulin and oral treatment;NA;readcode;Cambridge
C10..00;Diabetes;711;Diabetes mellitus;NA;readcode;Cambridge
C100.00;Diabetes;38986;Diabetes mellitus with no mention of complication;NA;readcode;Cambridge
C100000;Diabetes;24490;Diabetes mellitus, juvenile type, no mention of complication;NA;readcode;Cambridge
C100011;Diabetes;1038;Insulin dependent diabetes mellitus;NA;readcode;Cambridge
C100100;Diabetes;14803;Diabetes mellitus, adult onset, no mention of complication;NA;readcode;Cambridge
C100111;Diabetes;14889;Maturity onset diabetes;NA;readcode;Cambridge
C100112;Diabetes;506;Non-insulin dependent diabetes mellitus;NA;readcode;Cambridge
C100z00;Diabetes;50972;Diabetes mellitus NOS with no mention of complication;NA;readcode;Cambridge
C101.00;Diabetes;1682;Diabetes mellitus with ketoacidosis;NA;readcode;Cambridge
C101000;Diabetes;53200;Diabetes mellitus, juvenile type, with ketoacidosis;NA;readcode;Cambridge
C101100;Diabetes;54856;Diabetes mellitus, adult onset, with ketoacidosis;NA;readcode;Cambridge
C101y00;Diabetes;38617;Other specified diabetes mellitus with ketoacidosis;NA;readcode;Cambridge
C101z00;Diabetes;42505;Diabetes mellitus NOS with ketoacidosis;NA;readcode;Cambridge
C102.00;Diabetes;21482;Diabetes mellitus with hyperosmolar coma;NA;readcode;Cambridge
C102000;Diabetes;40023;Diabetes mellitus, juvenile type, with hyperosmolar coma;NA;readcode;Cambridge
C102100;Diabetes;43139;Diabetes mellitus, adult onset, with hyperosmolar coma;NA;readcode;Cambridge
C102z00;Diabetes;72345;Diabetes mellitus NOS with hyperosmolar coma;NA;readcode;Cambridge
C103.00;Diabetes;15690;Diabetes mellitus with ketoacidotic coma;NA;readcode;Cambridge
C103000;Diabetes;42567;Diabetes mellitus, juvenile type, with ketoacidotic coma;NA;readcode;Cambridge
C103100;Diabetes;68843;Diabetes mellitus, adult onset, with ketoacidotic coma;NA;readcode;Cambridge
C103y00;Diabetes;59288;Other specified diabetes mellitus with coma;NA;readcode;Cambridge
C103z00;Diabetes;65062;Diabetes mellitus NOS with ketoacidotic coma;NA;readcode;Cambridge
C104.00;Diabetes;16502;Diabetes mellitus with renal manifestation;NA;readcode;Cambridge
C104.11;Diabetes;2475;Diabetic nephropathy;NA;readcode;Cambridge
C104000;Diabetes;93922;Diabetes mellitus, juvenile type, with renal manifestation;NA;readcode;Cambridge
C104100;Diabetes;35105;Diabetes mellitus, adult onset, with renal manifestation;NA;readcode;Cambridge
C104y00;Diabetes;13279;Other specified diabetes mellitus with renal complications;NA;readcode;Cambridge
C104z00;Diabetes;35107;Diabetes mellitus with nephropathy NOS;NA;readcode;Cambridge
C105.00;Diabetes;33254;Diabetes mellitus with ophthalmic manifestation;NA;readcode;Cambridge
C105000;Diabetes;69748;Diabetes mellitus, juvenile type, + ophthalmic manifestation;NA;readcode;Cambridge
C105100;Diabetes;41389;Diabetes mellitus, adult onset, + ophthalmic manifestation;NA;readcode;Cambridge
C105y00;Diabetes;47377;Other specified diabetes mellitus with ophthalmic complicatn;NA;readcode;Cambridge
C105z00;Diabetes;34283;Diabetes mellitus NOS with ophthalmic manifestation;NA;readcode;Cambridge
C106.00;Diabetes;16230;Diabetes mellitus with neurological manifestation;NA;readcode;Cambridge
C106.11;Diabetes;59903;Diabetic amyotrophy;NA;readcode;Cambridge
C106.12;Diabetes;7795;Diabetes mellitus with neuropathy;NA;readcode;Cambridge
C106.13;Diabetes;16491;Diabetes mellitus with polyneuropathy;NA;readcode;Cambridge
C106000;Diabetes;67853;Diabetes mellitus, juvenile, + neurological manifestation;NA;readcode;Cambridge
C106100;Diabetes;39317;Diabetes mellitus, adult onset, + neurological manifestation;NA;readcode;Cambridge
C106y00;Diabetes;61523;Other specified diabetes mellitus with neurological comps;NA;readcode;Cambridge
C106z00;Diabetes;22573;Diabetes mellitus NOS with neurological manifestation;NA;readcode;Cambridge
C107.00;Diabetes;35399;Diabetes mellitus with peripheral circulatory disorder;NA;readcode;Cambridge
C107.11;Diabetes;32403;Diabetes mellitus with gangrene;NA;readcode;Cambridge
C107.12;Diabetes;32556;Diabetes with gangrene;NA;readcode;Cambridge
C107000;Diabetes;70448;Diabetes mellitus, juvenile +peripheral circulatory disorder;NA;readcode;Cambridge
C107100;Diabetes;63357;Diabetes mellitus, adult, + peripheral circulatory disorder;NA;readcode;Cambridge
C107200;Diabetes;33807;Diabetes mellitus, adult with gangrene;NA;readcode;Cambridge
C107300;Diabetes;69124;IDDM with peripheral circulatory disorder;NA;readcode;Cambridge
C107400;Diabetes;56803;NIDDM with peripheral circulatory disorder;NA;readcode;Cambridge
C107z00;Diabetes;65025;Diabetes mellitus NOS with peripheral circulatory disorder;NA;readcode;Cambridge
