Readcode;Disease;Medcode;ReadcodeDescr;Category;CodingSystem;Provencance
143..11;Hypo or hyperthyroidism;4937;H/O: thyroid disorder;History of Hypo or hyperthyroidism;NA;Kuan
1431.00;Hypo or hyperthyroidism;6245;H/O: hyperthyroidism;History of Hypo or hyperthyroidism;NA;Kuan
1431.11;Hypo or hyperthyroidism;8038;H/O: thyrotoxicosis;History of Hypo or hyperthyroidism;NA;Kuan
1432.00;Hypo or hyperthyroidism;3611;H/O: hypothyroidism;History of Hypo or hyperthyroidism;NA;Kuan
1433.00;Hypo or hyperthyroidism;35608;H/O: thyroid disorder NOS;History of Hypo or hyperthyroidism;NA;Kuan
212P.00;Hypo or hyperthyroidism;26362;Hyperthyroidism resolved;History of Hypo or hyperthyroidism;NA;Kuan
66B..00;Hypo or hyperthyroidism;8268;Thyroid disease monitoring;History of Hypo or hyperthyroidism;NA;Kuan
66B4.00;Hypo or hyperthyroidism;28530;Thyroid eye disease;History of Hypo or hyperthyroidism;NA;Kuan
66BB.00;Hypo or hyperthyroidism;95885;Hypothyroidism annual review;History of Hypo or hyperthyroidism;NA;Kuan
66BZ.00;Hypo or hyperthyroidism;28822;Thyroid disease monitoring NOS;History of Hypo or hyperthyroidism;NA;Kuan
8CR5.00;Hypo or hyperthyroidism;85955;Hypothyroidism clinical management plan;History of Hypo or hyperthyroidism;NA;Kuan
9Oj..00;Hypo or hyperthyroidism;28735;Hypothyroidism monitoring administration;History of Hypo or hyperthyroidism;NA;Kuan
9Oj0.00;Hypo or hyperthyroidism;46057;Hypothyroidism monitoring first letter;History of Hypo or hyperthyroidism;NA;Kuan
9Oj1.00;Hypo or hyperthyroidism;46630;Hypothyroidism monitoring second letter;History of Hypo or hyperthyroidism;NA;Kuan
9Oj2.00;Hypo or hyperthyroidism;46640;Hypothyroidism monitoring third letter;History of Hypo or hyperthyroidism;NA;Kuan
9Oj3.00;Hypo or hyperthyroidism;19367;Hypothyroidism monitoring verbal invite;History of Hypo or hyperthyroidism;NA;Kuan
9Oj4.00;Hypo or hyperthyroidism;85661;Hypothyroidism monitoring telephone invitation;History of Hypo or hyperthyroidism;NA;Kuan
C02..00;Hypo or hyperthyroidism;677;Thyrotoxicosis;Diagnosis of Hypo or Hyperthyroidism;NA;Kuan
C02..11;Hypo or hyperthyroidism;1472;Hyperthyroidism;Diagnosis of Hypo or Hyperthyroidism;readcode;Kuan and Cambridge
C02..12;Hypo or hyperthyroidism;10760;Toxic goitre;Diagnosis of Hypo or Hyperthyroidism;NA;Kuan
C020.00;Hypo or hyperthyroidism;23315;Toxic diffuse goitre;Diagnosis of Hypo or Hyperthyroidism;NA;Kuan
C020.11;Hypo or hyperthyroidism;44405;Basedow's disease;Diagnosis of Hypo or Hyperthyroidism;NA;Kuan
C020.12;Hypo or hyperthyroidism;5257;Graves' disease;Diagnosis of Hypo or Hyperthyroidism;NA;Kuan
